year,area,total_conc,total_fem,total_masc
1995,Arts & Humanities,81421,68395,13026
1995,Business & Management,118648,61482,57166
1995,Engineering,17831,3565,14266
1995,Health & Medical,38309,25830,12479
1995,Natural Sciences,27416,15332,12084
1995,Other/Unknown,7368,2219,5149
1995,Total,290993,176823,114170
1996,Arts & Humanities,466,373,93
1996,Business & Management,444,254,190
1996,Engineering,123,34,89
1996,Health & Medical,219,178,41
1996,Natural Sciences,199,118,81
1996,Other/Unknown,92,28,64
1996,Total,1543,985,558
1997,Arts & Humanities,122654,101544,21110
1997,Business & Management,181459,95706,85753
1997,Engineering,27431,5901,21530
1997,Health & Medical,62883,42783,20100
1997,Natural Sciences,45856,25689,20167
1997,Other/Unknown,9075,3440,5635
1997,Total,449358,275063,174295
1998,Arts & Humanities,30690,23976,6714
1998,Business & Management,87438,43586,43852
1998,Education,35294,29910,5384
1998,Engineering,33004,11213,21791
1998,Health & Medical,42546,31505,11041
1998,Natural Sciences,15861,9772,6089
1998,Other/Unknown,5217,1954,3263
1998,Social & Behavioral Sciences,15024,10153,4871
1998,Total,265074,162069,103005
1999,Arts & Humanities,31396,24238,7158
1999,Business & Management,99505,50665,48840
1999,Education,39641,33460,6181
1999,Engineering,36477,12110,24367
1999,Health & Medical,46076,34626,11450
1999,Natural Sciences,16315,9824,6491
1999,Other/Unknown,5643,2077,3566
1999,Social & Behavioral Sciences,16107,10583,5524
1999,Total,291160,177583,113577
2001,Arts & Humanities,1602,974,628
2001,Business & Management,28539,14804,13735
2001,Education,8001,5286,2715
2001,Engineering,2707,899,1808
2001,Health & Medical,6662,4926,1736
2001,Natural Sciences,5510,2518,2992
2001,Other/Unknown,1358,528,830
2001,Total,54379,29935,24444
2002,Arts & Humanities,4348,2664,1684
2002,Business & Management,65696,34462,31234
2002,Education,32013,23073,8940
2002,Engineering,6646,2256,4390
2002,Health & Medical,17368,12732,4636
2002,Natural Sciences,13724,6220,7504
2002,Other/Unknown,3446,1438,2008
2002,Total,143241,82845,60396
2003,Arts & Humanities,2417,1528,889
2003,Business & Management,37004,19216,17788
2003,Education,19750,14137,5613
2003,Engineering,3017,1049,1968
2003,Health & Medical,10665,8015,2650
2003,Natural Sciences,7498,3322,4176
2003,Other/Unknown,1486,575,911
2003,Total,81837,47842,33995
2004,Arts & Humanities,2493,1557,936
2004,Business & Management,43934,23252,20682
2004,Education,21075,14310,6765
2004,Engineering,3685,1266,2419
2004,Health & Medical,13091,9652,3439
2004,Natural Sciences,10153,4384,5769
2004,Other/Unknown,2194,852,1342
2004,Total,96625,55273,41352
2005,Arts & Humanities,3292,1952,1340
2005,Business & Management,50540,26933,23607
2005,Education,27183,20331,6852
2005,Engineering,4219,1495,2724
2005,Health & Medical,16132,12060,4072
2005,Natural Sciences,12099,5165,6934
2005,Other/Unknown,2457,952,1505
2005,Total,115922,68888,47034
2006,Arts & Humanities,3886,2361,1525
2006,Business & Management,58485,30518,27967
2006,Education,35356,26557,8799
2006,Engineering,4848,1670,3178
2006,Health & Medical,22432,16738,5694
2006,Natural Sciences,13913,5888,8025
2006,Other/Unknown,3107,1322,1785
2006,Total,142027,85054,56973
2007,Arts & Humanities,28087,17056,11031
2007,Business & Management,336155,185191,150964
2007,Education,175585,135810,39775
2007,Engineering,47016,13060,33956
2007,Health & Medical,114056,83499,30557
2007,Natural Sciences,59048,21759,37289
2007,Other/Unknown,15293,6126,9167
2007,Total,775240,462501,312739
2008,Arts & Humanities,29222,17040,12182
2008,Business & Management,375608,207939,167669
2008,Education,196590,151021,45569
2008,Engineering,47590,13703,33887
2008,Health & Medical,128506,95649,32857
2008,Natural Sciences,62238,23086,39152
2008,Other/Unknown,16359,6356,10003
2008,Total,856113,514794,341319
2009,Arts & Humanities,14476,7546,6930
2009,Business & Management,270568,147089,123479
2009,Education,243350,191925,51425
2009,Engineering,64099,16166,47933
2009,Health & Medical,130541,101083,29458
2009,Natural Sciences,7472,4130,3342
2009,Other/Unknown,17070,6764,10306
2009,Social & Behavioral Sciences,37835,24981,12854
2009,Total,785411,499684,285727
2010,Arts & Humanities,16498,8549,7949
2010,Business & Management,278334,154708,123626
2010,Education,234517,180047,54470
2010,Engineering,65931,16857,49074
2010,Health & Medical,143856,110950,32906
2010,Natural Sciences,10740,6201,4539
2010,Other/Unknown,16723,6802,9921
2010,Social & Behavioral Sciences,44565,30329,14236
2010,Total,811164,514443,296721
2011,Arts & Humanities,18478,9453,9025
2011,Business & Management,287467,160788,126679
2011,Education,239562,184986,54576
2011,Engineering,69401,18693,50708
2011,Health & Medical,153555,117335,36220
2011,Natural Sciences,12341,7016,5325
2011,Other/Unknown,17826,7335,10491
